event_date,location,event_type,sub_event_type,actor1,actor2,fatalities,notes,intsum
2023-11-23,Imphal,Strategic developments,Other,Protesters (India),,0,"Strikes: On 23 November 2023, journalist community of Manipur started a 5-day cease-work strike across the state, coded as Imphal city (Imphal West, Manipur), against the threats and intimidation by militant groups for covering the ongoing violence between Meitei and Tribal communities in the state. The strike ended on 27 November 2023.","<s> INTSUM Report

Date: 23 November 2023
Location: Imphal, Manipur, India
Actors Involved: Journalists (India)
Event Summary: Journalists in Manipur initiated a 5-day cease-work strike in response to threats and intimidation from militant groups. The strike was a protest against the targeting of media personnel covering the ongoing violence between Meitei and Tribal communities in the state.
Outcome: The strike concluded on 27 November 2023 without reported fatalities.
Casualties/Fatalities: 0
Strategic Implications: The strike highlights the escalating tensions in Manipur and the increasing risks faced by journalists in conflict zones. It underscores the need for enhanced security measures for media personnel and the importance of unrestricted press freedom in conflict areas.
Analyst Remarks: The strike demonstrates the growing influence of militant groups in Manipur and their ability to disrupt media operations. The situation may deteriorate further if security measures are not strengthened.
Recommended Action: Authorities should prioritize the protection of journalists and ensure safe working conditions. Media organizations should coordinate with security forces to mitigate risks and maintain operational continuity during conflicts."
2023-01-14,Dangwada,Riots,Mob violence,Rioters (India),Civilians (India),0,"Around 14 January 2023 (as reported), seven persons from the Jat community assaulted members of a family, with sticks and rods, in Dangwada village under Badnagar tehsil (Ujjain district, Madhya Pradesh) over a land dispute. Two persons were injured in the incident.","<s> INTSUM Report
Date: 14 January 2023
Location: Dangwada, Badnagar Tehsil, Ujjain District, Madhya Pradesh, India (23.0925, 75.531)
Actors Involved:
- Primary Actor: Rioters (Jat community, India)
- Secondary Actor: Civilians (India)

Event Summary:
On 14 January 2023, seven individuals from the Jat community attacked a family in Dangwada village, Ujjain district, Madhya Pradesh, using sticks and rods. The assault was reportedly triggered by a land dispute.

Outcome:
The incident resulted in two civilian injuries. No fatalities were reported.

Casualties/Fatalities:
- Injured: 2
- Fatalities: 0

Strategic Implications:
The incident highlights ongoing communal tensions and land disputes in rural Madhya Pradesh, which could escalate if unresolved. Such incidents may strain inter-community relations and pose challenges to local security.

Analyst Remarks:
The use of violence over land disputes suggests a potential for further unrest, particularly if legal or administrative resolutions are delayed. Monitoring for similar incidents in the region is recommended.

Recommended Action:
- Local authorities should investigate and resolve the land dispute to prevent further escalation.
- Enhanced community engagement and mediation efforts are advised to mitigate tensions.
- Security forces should maintain vigilance in the area to deter similar incidents."
2022-04-04,Phagwara,Violence against civilians,Attack,Unidentified Armed Group (India),Civilians (India),0,"On 4 April 2022, two unidentified assailants shot at an AAP member, on the national highway in Phagwara town (Kapurthala district, Punjab). 1 injured.","<s> INTSUM Report
Date: 4 April 2022
Location: Phagwara, Kapurthala District, Punjab, India (31.2245N, 75.7738E)
Actors Involved:
- Primary Actor: Unidentified Armed Group (India)
- Secondary Actor: Civilians (India)
- Targeted Individual: Aam Aadmi Party (AAP) Member

Event Summary: On 4 April 2022, two unidentified assailants fired upon an AAP member on the national highway in Phagwara town, Kapurthala District, Punjab. The attack resulted in one injury.

Outcome: The targeted individual sustained injuries, but no fatalities were reported. The assailants remain unidentified, and no arrests or further details have been disclosed.

Casualties/Fatalities: 1 injured, 0 fatalities.

Strategic Implications: The attack highlights ongoing political violence in Punjab, potentially linked to regional tensions or organized crime. The involvement of unidentified assailants suggests a possible escalation in targeted attacks against political figures.

Analyst Remarks: The lack of identification of the assailants complicates attribution, raising concerns about broader security threats. Monitoring for similar incidents is recommended to assess patterns or escalation.

Recommended Action: Enhance security measures for political figures in Punjab, particularly in high-risk areas. Coordinate with local law enforcement to investigate and identify the assailants. Monitor for further incidents to determine if this is an isolated event or part of a larger campaign."
2023-02-06,Amritsar,Protests,Peaceful protest,Protesters (India),,0,"On 6 February 2023, members of the district unit of the Punjab and Chandigarh College Teachers Union (PCCTU) staged a massive protest in Amritsar city (Punjab), against the government and opposed the reduction in the retirement age from 60 to 58 years for the teachers working in non-government private-aided colleges of Punjab under grant-in-aid scheme. They also demanded that teachers of non-aided colleges be treated the same way as the teachers of government, and entitled to retirement benefits, such as a pension.",
2024-04-10,Bijapur,Explosions/Remote violence,Remote explosive/landmine/IED,Naxal-Maoist Rebels (India),Police Forces of India (2014-) Special Task Force,0,"On 10 April 2024, 2 Special Task Force (STF) personnel were injured in a pressure-activated IED explosion triggered by the Naxal-Maoists near Itwar village in Gangaloor region (Bijapur district, Chhattisgarh).","INTSUM Report
Date: 10 April 2024
Location: Gangaloor region, Bijapur district, Chhattisgarh, India (Latitude 18.7939, Longitude 80.8159)
Actors Involved:
- Primary Actor: Naxal-Maoist Rebels (India)
- Secondary Actor: Police Forces of India (2014-) Special Task Force (STF)

Event Summary:
On 10 April 2024, a pressure-activated improvised explosive device (IED) detonated near Itwar village in the Gangaloor region of Bijapur district, Chhattisgarh. The explosion was triggered by Naxal-Maoist rebels, targeting a patrol of the Police Forces of India (2014-) Special Task Force (STF).

Outcome:
The IED explosion resulted in injuries to 2 STF personnel. No fatalities were reported.

Casualties/Fatalities:
- Injured: 2 (STF personnel)
- Fatalities: 0

Strategic Implications:
The incident highlights the persistent threat posed by Naxal-Maoist rebels in the region, particularly their use of IEDs to target security forces. This event may indicate an escalation in insurgent activity, necessitating enhanced counter-insurgency measures and heightened vigilance in the area.

Analyst Remarks:
The use of pressure-activated IEDs by Naxal-Maoist rebels suggests a tactical shift toward remote violence, potentially aimed at disrupting security force operations and morale. The Gangaloor region's rugged terrain and dense forest cover provide favorable conditions for insurgent operations, complicating counter-insurgency efforts.

Recommended Action:
- Increase surveillance and patrols in the Gangaloor region, particularly in areas prone to IED deployment.
- Enhance counter-IED training and equipment for STF personnel to mitigate the risk of future attacks.
- Strengthen intelligence-sharing mechanisms to preempt insurgent activities in the region.
- Consider deploying specialized counter-IED units to assist in demining and neutralization efforts."
2022-04-05,Poonch,Battles,Armed clash,Military Forces of India (2014-),Kashmir Rebels (Pakistan),0,"On 5 April 2022, military forces and BSF exchanged fire with unidentified militants (coded as Kashmir Rebels) attempting to intrude across the LoC in Poonch sector (Poonch district, J&K). There were no casualties.",
2016-03-20,Bokchung,Explosions/Remote violence,Remote explosive/landmine/IED,GNLA: Garo National Liberation Army,Civilians (India),1,"A civilian driver transporting security personnel was killed in an IED blast at Bokchung village in West Khasi Hills district, by suspected GNLA militants.","INTSUM Report
Date: 2016-03-20
Location: Bokchung, West Khasi Hills, Meghalaya, India (25.4759, 90.8314)
Actors Involved:
- Primary: Garo National Liberation Army (GNLA)
- Secondary: Civilians (India)

Event Summary:
A civilian driver transporting security personnel was killed in an IED blast in Bokchung village, West Khasi Hills district, attributed to suspected GNLA militants.

Outcome:
Successful IED detonation resulting in one civilian fatality.

Casualties/Fatalities:
- 1 civilian fatality (driver).

Strategic Implications:
- Demonstrates GNLA's capability to conduct asymmetric attacks in the region.
- Potential to escalate tensions between security forces and insurgent groups.
- Civilian casualties may provoke public backlash or demand for increased security measures.

Analyst Remarks:
- The attack underscores the ongoing insurgency in Meghalaya and the GNLA's continued operational presence.
- Likely intended to disrupt security operations and instill fear among civilians and security personnel.

Recommended Action:
- Enhance security measures for civilian vehicles transporting security personnel.
- Conduct intelligence operations to identify and neutralize GNLA IED networks.
- Monitor local sentiment and potential public reactions to the attack."
2019-03-17,Hyderabad,Protests,Peaceful protest,Protesters (India),,0,"On 17 March 2019, Hyderabad (Hyderabad, Telangana), the Wahdat-e-Islami Hind Telangana Chapter and Majlis Tameer-e-Millat staged separate protests in the Old City area condemning the Christchurch attack against Muslims in New Zealand.","INTSUM Report
Date: 17 March 2019
Location: Hyderabad, Telangana, India
Actors Involved:
- Primary: Protesters (Wahdat-e-Islami Hind Telangana Chapter, Majlis Tameer-e-Millat)
Event Summary: On 17 March 2019, two separate peaceful protests were staged in Hyderabad's Old City area by the Wahdat-e-Islami Hind Telangana Chapter and Majlis Tameer-e-Millat to condemn the Christchurch attack against Muslims in New Zealand.
Outcome: Protests concluded without incident.
Casualties/Fatalities: 0
Strategic Implications: The protests highlight the potential for localized reactions to international events, particularly those involving religious or ethnic communities. The peaceful nature of the demonstrations suggests a controlled response, but future events could escalate if similar incidents occur.
Analyst Remarks: The coordinated yet separate protests indicate a unified stance against anti-Muslim violence, though the lack of broader participation may limit their strategic impact. Monitoring of similar events is recommended to assess trends in public sentiment.
Recommended Action: Continue surveillance of protest activities in Hyderabad and other major urban centers to preempt potential escalations. Engage with local community leaders to foster dialogue and maintain stability."
2024-10-08,Bhopalpattnam,Strategic developments,Other,CPI (Maoist): Communist Party of India (Maoist),,0,"Other: On 8 October 2024, Madded area committee of CPI (Maoists), in a note, objected to the Bharatiya Janata Party (BJP)'s membership drive by two local members in Bhopalpattnam town (Bijapur district, Chhattisgarh) asking the duo to quit the party.","INTSUM Report
Date: 08 October 2024
Location: Bhopalpattnam, Bijapur District, Chhattisgarh, India
Actors Involved:
- Primary: CPI (Maoist) - Madded Area Committee
- Secondary: Bharatiya Janata Party (BJP) - Local Members

Event Summary:
The Madded Area Committee of the CPI (Maoist) issued a statement objecting to the BJP's membership drive in Bhopalpattnam, Bijapur District, Chhattisgarh. The committee directed two local BJP members to cease their political activities and quit the party.

Outcome:
No immediate action or response reported from the BJP members.

Casualties/Fatalities:
0

Strategic Implications:
The CPI (Maoist)'s intervention underscores their continued influence in remote areas of Chhattisgarh and their opposition to mainstream political activities. This incident may escalate tensions between the Maoists and the BJP in the region, potentially disrupting local governance and security operations.

Analyst Remarks:
The Maoists' directive reflects their strategy to maintain control over local populations and suppress rival political influences. The BJP's response will be critical in determining the trajectory of this conflict.

Recommended Action:
Monitor local developments for any escalation in Maoist-BJP tensions. Assess the BJP's response and potential security measures to protect their members. Consider advisory measures for local officials and civilians in the affected area."
2018-03-06,Chandel,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),Military Forces of India (2014-) Rajputana Rifles,1,"On 6 March 2018, one personnel of 28th Rajput Rifles was killed when three IEDs exploded in quick succession at Bongjoy village located close to Myanmar border in Chandel district (Manipur). Two other personnel were also injured in the attack. No group has claimed responsibility for the attack.",
2022-05-13,Narayanpatna,Strategic developments,Disrupted weapons use,Police Forces of India (2014-),CPI (Maoist): Communist Party of India (Maoist),0,"Weapons seizure: On 13 May 2022, a joint team of police and DVF personnel recovered a large cache of explosives, including a CP Riot gun, 38mm rubber bullet, six packets of liquid explosives (OPR gel) and a pair of cutting pliers, suspectedly hidden underground by CPI (Maoist) cadres 'years ago', from the forests, between Panching and Balpai villages under Narayanpatna police station limits (Koraput, Odisha). The CP Riot gun had been looted during an attack on Koraput armoury in 2004.",
2021-01-04,Mankote,Protests,Peaceful protest,Protesters (India),,0,"On 4 January 2021, locals protested at Mankote village (Poonch district, J&K) over non-availability of water for many years.",
2021-02-11,Madurai,Protests,Protest with intervention,Protesters (India),Police Forces of India (2014-),0,"On 11 February 2021, a Muslim group held a protest in Madurai city (Madurai, TN) as another Muslim group attempted to take over the administration of a mosque. Police arrested 80 protesters.","INTSUM Report
Date: 11 February 2021
Location: Madurai, Tamil Nadu, India (Coordinates: 9.9174° N, 78.1196° E)
Actors Involved:
- Primary: Protesters (India)
- Secondary: Police Forces of India (2014-)
Event Summary: A Muslim group staged a protest in Madurai against another Muslim group's attempt to take over the administration of a mosque. The police intervened, arresting 80 protesters.
Outcome: Police successfully dispersed the protest and made 80 arrests.
Casualties/Fatalities: None reported.
Strategic Implications: The incident highlights ongoing sectarian tensions within the Muslim community in Tamil Nadu, potentially destabilizing local security.
Analyst Remarks: The protest underscores the need for community mediation to prevent further escalation.
Recommended Action: Authorities should monitor the situation closely and engage with local religious leaders to mitigate tensions."
2022-08-16,Manihal,Explosions/Remote violence,Grenade,Kashmir Rebels (India),,0,"On 16 August 2022, militants (coded as Kashmir Rebels) lobbed a grenade at a Kashmiri Pandit house in Manihal town (Shopian district, J&K). There were no casualties.","INTSUM Report
Date: 16 August 2022
Location: Manihal, Shopian district, Jammu and Kashmir, India (33.7332° N, 74.9383° E)
Actors Involved:
- Primary: Kashmir Rebels (India)
- Secondary: None
- Ally: None

Event Summary:
On 16 August 2022, militants identified as Kashmir Rebels (India) launched a grenade attack on a Kashmiri Pandit residence in Manihal, Shopian district, Jammu and Kashmir, India. No casualties were reported.

Outcome:
- No casualties or structural damage reported.
- The attack did not result in any immediate escalation or retaliation.

Casualties/Fatalities:
- None

Strategic Implications:
- The attack underscores ongoing tensions in the region, particularly targeting minority communities.
- May indicate heightened militancy or a shift in tactics by insurgent groups.

Analyst Remarks:
- The lack of casualties suggests the attack may have been symbolic or intended to instill fear rather than cause harm.
- Continued monitoring of the region is advised to assess potential escalation or further incidents.

Recommended Action:
- Enhanced security measures for minority communities in the area.
- Increased intelligence gathering to preempt future attacks.
- Coordination with local law enforcement to mitigate risks."
2020-06-12,Uri,Battles,Armed clash,Military Forces of India (2014-),Military Forces of Pakistan (2018-2022),3,"On 12 June 2020, military forces of India and Pakistan exchanged fire across the LoC in Rustom Mohalla in Uri district (Baramulla district, J&K) in which three Pakistan army soldiers were killed.","INTSUM Report
Date: 12 June 2020
Location: Rustom Mohalla, Uri district (Baramulla district, Jammu and Kashmir, India)
Coordinates: 34.0875° N, 74.0334° E
Actors Involved:
- Primary Actor: Military Forces of India (2014-)
- Secondary Actor: Military Forces of Pakistan (2018-2022)

Event Summary:
On 12 June 2020, Indian and Pakistani military forces engaged in an armed clash across the Line of Control (LoC) in Rustom Mohalla, Uri district, Baramulla district, Jammu and Kashmir. The exchange of fire resulted in the deaths of three Pakistani army soldiers.

Outcome:
- Pakistani military suffered three fatalities.
- No reported casualties on the Indian side.

Casualties/Fatalities:
- Pakistan: 3 soldiers killed.

Strategic Implications:
- Escalation along the LoC could lead to further tensions between India and Pakistan.
- Continued border skirmishes may destabilize regional security.

Analyst Remarks:
- The incident underscores persistent tensions along the LoC, particularly in contested regions like Jammu and Kashmir.
- Both nations may escalate or de-escalate based on political and military assessments.

Recommended Action:
- Monitor for further escalation or retaliatory actions.
- Assess diplomatic and military responses from both sides to gauge potential long-term impact."
2022-10-06,Banei,Riots,Mob violence,Rioters (India),Civilians (India),0,"On 6 October 2022, villagers assaulted and injured two forest range officials, including using a fire torch, in Dengeidhipa village under Banei police station limits (Sundargarh, Odisha), over suspected inaction against elephant intrusions in their village.","<s> INTSUM Report
Date: 06 October 2022
Location: Banei, Sundargarh, Odisha, India (21.816, 84.9154)
Actors Involved:
- Primary: Rioters (Indian civilians)
- Secondary: Civilians (Indian forest range officials)

Event Summary:
On 6 October 2022, villagers in Dengeidhipa (under Banei police station jurisdiction) attacked two forest range officials with a fire torch, alleging inaction against elephant intrusions affecting the village.

Outcome:
- Two forest officials injured.
- No fatalities reported.

Casualties/Fatalities:
- Injured: 2 (forest officials)
- Fatalities: 0

Strategic Implications:
- Potential escalation in civilian-government tensions over wildlife management.
- Possible erosion of trust in local authorities' ability to address community concerns.

Analyst Remarks:
- The incident highlights underlying frustrations over wildlife-human conflict, particularly elephant intrusions.
- Local authorities may need to reassess their response mechanisms to prevent similar incidents.

Recommended Action:
- Conduct a thorough investigation into the incident and the underlying grievances.
- Strengthen community engagement and communication between forest officials and local villagers.
- Develop and implement long-term strategies to mitigate human-elephant conflict in the region."
2023-12-10,Gorakhpur,Violence against civilians,Sexual violence,Police Forces of India (2014-),Civilians (India),0,"On 10 December 2023, a police constable abducted a 14-year-old girl from her house and molested her in the planetarium area of Gorakhpur city (Uttar Pradesh). The girl managed to escape and was eventually rescued. On 14 December, police arrested the accused involved.","INTSUM Report
Date: 10 December 2023
Location: Gorakhpur, Uttar Pradesh, India (26.7662° N, 83.3688° E)
Actors Involved:
- Primary: Police Forces of India (2014-)
- Secondary: Civilians (India)

Event Summary:
On 10 December 2023, a police constable abducted a 14-year-old girl from her residence in Gorakhpur, Uttar Pradesh, and subjected her to sexual violence in the planetarium area. The victim escaped and was subsequently rescued. The perpetrator was arrested on 14 December 2023.

Outcome:
- Victim rescued.
- Perpetrator arrested.

Casualties/Fatalities: 0

Strategic Implications:
- Incident highlights potential lapses in police conduct and accountability.
- May undermine public trust in law enforcement.
- Could exacerbate tensions between civilians and security forces.

Analyst Remarks:
- The arrest of the perpetrator suggests a swift response by authorities, which may mitigate further escalation.
- Continued monitoring of similar incidents is recommended to assess systemic issues within law enforcement.

Recommended Action:
- Strengthen oversight and accountability mechanisms within police forces.
- Conduct community engagement initiatives to rebuild trust.
- Monitor for follow-on incidents or public unrest."
2019-06-08,Verinag,Battles,Armed clash,JeM: Jaish-e-Mohammad,Military Forces of India (2014-) Rashtriya Rifles,1,"On 8 June 2019, a JeM militant was killed in a clash with state forces during a joint RR, CRPF and SOG CASO in the Verinag area (Anantnag, J&K).","INTSUM Report
Date: 08 June 2019
Location: Verinag, Anantnag, Jammu and Kashmir, India (Coordinates: 33.5377° N, 75.2503° E)
Actors Involved:
- Primary: Jaish-e-Mohammad (JeM)
- Secondary: Indian Military Forces (Rashtriya Rifles, CRPF, SOG)
Event Summary: A joint counter-insurgency operation (CASO) by Indian security forces (Rashtriya Rifles, CRPF, and SOG) resulted in an armed clash with JeM militants in Verinag, Anantnag district, Jammu and Kashmir.
Outcome: Successful engagement by Indian forces, resulting in the neutralization of one JeM militant.
Casualties/Fatalities: 1 (JeM militant)
Strategic Implications: The operation demonstrates continued counter-terrorism efforts by Indian security forces in Jammu and Kashmir, particularly targeting JeM, a designated terrorist organization. The incident highlights ongoing insurgent activity in the region despite heightened security measures.
Analyst Remarks: The engagement underscores the persistent threat posed by JeM in the region, despite previous high-profile operations. Continued vigilance and intelligence-driven operations are essential to mitigate insurgent activities.
Recommended Action: Enhance intelligence sharing and coordination between security forces to preempt further militant incursions. Strengthen community engagement to gather actionable intelligence."
